supplying_plant,sales_district,sold_to_party,sold_to_party_name,city,material,material_description,actual_billed_quantity,invoice_date
HM51,NORTH,19000102,S B Markplus Private Limited,Delhi,FD062900401000000D,Palak Sev MRP 10|40 GM*10 KG,8750,07/05/25
HM51,NORTH,19000102,S B Markplus Private Limited,Delhi,FD062900401000000D,Palak Sev MRP 10|40 GM*10 KG,1750,07/05/25
HM51,NORTH,19000102,S B Markplus Private Limited,Delhi,FD062900401000000D,Palak Sev MRP 10|40 GM*10 KG,2500,07/05/25
HM51,NORTH,19000740,S B Markplus Private Limited,New Delhi,FD016600450810000D,Bhavnagri Gathiya MRP 10|45 GM*8.1 KG,18000,07/05/25
HM51,NORTH,19000102,S B Markplus Private Limited,Delhi,FD061800401008000D,Nimbu Masala MRP 10|40GM*10.08KG,4284,07/05/25
HM51,NORTH,19000102,S B Markplus Private Limited,Delhi,FD061800401008000D,Nimbu Masala MRP 10|40GM*10.08KG,12600,07/05/25
HM51,NORTH,19000102,S B Markplus Private Limited,Delhi,FD061800401008000D,Nimbu Masala MRP 10|40GM*10.08KG,1008,07/05/25
HM51,NORTH,19000740,S B Markplus Private Limited,New Delhi,FD016600450810000D,Bhavnagri Gathiya MRP 10|45 GM*8.1 KG,5940,07/05/25
HM51,NORTH,19000740,S B Markplus Private Limited,New Delhi,FD016600450810000D,Bhavnagri Gathiya MRP 10|45 GM*8.1 KG,4680,07/05/25
HM51,NORTH,19000740,S B Markplus Private Limited,New Delhi,FD016600450810000D,Bhavnagri Gathiya MRP 10|45 GM*8.1 KG,360,07/05/25
HM51,NORTH,19000740,S B Markplus Private Limited,New Delhi,FD016600450810000D,Bhavnagri Gathiya MRP 10|45 GM*8.1 KG,16020,07/05/25
HM54,NORTH,19000102,S B Markplus Private Limited,,FD049600380950000D,Malai Sev 38 GM * 9.5 KG,25000,16/06/25
HM51,NORTH,19000740,S B Markplus Private Limited,New Delhi,FD089300420840000D,Teekha Meetha MRP 10|42 GM*8.4 KG,3000,08/05/25
HM54,NORTH,19000102,S B Markplus Private Limited,,FD049600380950000D,Malai Sev 38 GM * 9.5 KG,74250,11/04/25
HM52,NORTH,19000102,S B Markplus Private Limited,Delhi,FD572400381094400D,Shahi Dal Biji MRP 10|38GM*10.944KG,9216,25/05/25
HM52,NORTH,19000102,S B Markplus Private Limited,Delhi,FD029000421108800D,Fatafat Bhel MRP 10|42GM*11.088KG,19536,25/05/25
HM52,NORTH,19000102,S B Markplus Private Limited,Delhi,FD029000421108800D,Fatafat Bhel MRP 10|42GM*11.088KG,5280,25/05/25
HM52,NORTH,19000102,S B Markplus Private Limited,Delhi,FD572400381094400D,Shahi Dal Biji MRP 10|38GM*10.944KG,5184,25/05/25
HM52,NORTH,19000102,S B Markplus Private Limited,Delhi,FD572400381094400D,Shahi Dal Biji MRP 10|38GM*10.944KG,2592,25/05/25
HW06,NORTH,19000102,S B Markplus Private Limited,Delhi,FD055800351050000D,Masala Moong Dal MRP 10|35 GM*10.5 KG,3000,15/04/25
HW06,NORTH,19000102,S B Markplus Private Limited,Delhi,FD055800351050000D,Masala Moong Dal MRP 10|35 GM*10.5 KG,3000,11/07/25
HW06,NORTH,19000102,S B Markplus Private Limited,Delhi,FD055800351050000D,Masala Moong Dal MRP 10|35 GM*10.5 KG,3000,28/07/25
HW06,NORTH,19000102,S B Markplus Private Limited,Delhi,FD055800351050000D,Masala Moong Dal MRP 10|35 GM*10.5 KG,3000,06/06/25
HW06,NORTH,19000102,S B Markplus Private Limited,Delhi,FD055800351050000D,Masala Moong Dal MRP 10|35 GM*10.5 KG,300,28/04/25
HW06,NORTH,19000102,S B Markplus Private Limited,,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,3000,04/04/25
HW06,NORTH,19000102,S B Markplus Private Limited,,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,66000,04/04/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,300,20/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,18000,20/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,300,19/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,36300,19/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,12000,19/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,3300,19/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,3000,20/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,48000,19/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,600,19/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,8400,19/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,22800,19/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,300,19/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,5700,20/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,300,19/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,62700,19/05/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,6000,25/07/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,12000,21/06/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,1500,25/07/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,7200,25/07/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,6000,21/06/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,300,25/07/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,24000,25/07/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,15300,21/06/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,6000,25/07/25
HW06,NORTH,19000059,S B Markplus Private Limited,Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,90000,09/06/25
HW06,NORTH,19000740,S B Markplus Private Limited,New Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,24000,18/07/25
HW06,NORTH,19000740,S B Markplus Private Limited,New Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,6000,22/07/25
HW06,NORTH,19000740,S B Markplus Private Limited,New Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,45000,19/07/25
HW06,NORTH,19000740,S B Markplus Private Limited,New Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,300,13/07/25
HW06,NORTH,19000740,S B Markplus Private Limited,New Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,29700,13/07/25
HW06,NORTH,19000740,S B Markplus Private Limited,New Delhi,FD060300351050002D,Moong Dal MRP 10|35 GM*10.5 KG,6000,27/07/25
