industy_segment_name,pack_size_name,base_pack_design_name,base_pack_design_id,industy_segment_id,pack_size_id,product,ptr,ptd,display_mrp,mrp,alternate_category,product_erp_id,is_promoted,product_weight_in_gm
CAR,LARGE PACK,Milk Rusk-250 Gm,EAK8C351137E54676,Bakery_Emerging,LARGE PACK_Bakery_Emerging,Rusk Milk 250GM*7KG,35.714,33.53,45,45,Rusk/Toast,FA113702500700000D,FALSE,0
CAR,LARGE PACK,Roll Pole Choco Drool 400 Gm,AIM9C310240E51352,Western Snacks_In-Home,LARGE PACK_Western Snacks_In-Home,ROLL POLL CHOCO DROOL JAR 400 Gm*4.8,118.65,110.88,200,200,Confectionery,FI024004000480000D,FALSE,0
CAR,MRP 10,Cornchy MRP 10,BEI9A530254A10542,"Nuts, Seeds, Berries_Out of Home","MRP 10_Nuts, Seeds, Berries_Out of Home",Cornchy MRP 10|20 GM*6 KG,7.4999,7,10,10,Peanuts,FE025400200600000D,FALSE,0
CAR,GIFT PACK,Kabhi Khatta Kabhi Meetha 820 Gm,DJF2L095379B83380,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Kabhi Khatta Kabhi Meetha 820GM*8.2KG,263.975,249.03,340,340,Gift Pack,FJ537908200820000D,FALSE,0
CAR,1 KG,Aloo Bhujia Plain 1 Kg,ADA1A060921B10127,Namkeen_In-Home,1 KG_Namkeen_In-Home,Aloo Bhujia 1000+100=1100 KG*13.2 KG,196.2747,184.72,255,255,Aloo Bhujia,FD092111001320000D,FALSE,0
CAR,200 GM,Chana Cracker Masala 200 Gm,AEB4A340197B40283,"Nuts, Seeds, Berries_In-Home","200 GM_Nuts, Seeds, Berries_In-Home",Chana Cracker Masala 200 GM*12 KG,48.84,45.97,60,60,Chana,FE019702001200000D,FALSE,0
CAR,200 GM,Chana Cracker H.J. 200 Gm,AEB4A340196B40279,"Nuts, Seeds, Berries_In-Home","200 GM_Nuts, Seeds, Berries_In-Home",Chana Cracker H.J. 200 GM*12 KG,48.84,45.97,60,60,Chana,FE019602001200000D,FALSE,0
CAR,400 GM,Kaju Burfee 400 Gm,DHC5B030433B20756,Sweets_Ambient,400 GM_Sweets_Ambient,Kaju Burfee 400 GM*8 KG,369.0475,344.9,465,465,Dry Fruit & Nuts Based,FH043304000800000D,FALSE,0
CAR,1 KG,Aloo Bhujia Plain 1 Kg,ADA1A060921B10127,Namkeen_In-Home,1 KG_Namkeen_In-Home,Aloo Bhujia 1 KG*12 KG,218.75,218.75,245,245,Aloo Bhujia,FD092110001200000D,FALSE,0
CAR,GIFT PACK,Meetha Bhi Namkeen Bhi 600 Gm,DJF2L091131B83381,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Meetha Bhi Namkeen Bhi 600 GM*7.2 KG,232.143,219,299,299,Gift Pack,FJ113106000720000D,FALSE,0
